ID,YEARIN,rural14,age14
11000308,2014,city,95
11001208,2014,city,98
11002308,2014,city,91
11002508,2014,city,107
11002908,2014,town,70
11003008,2014,town,72
11003108,2014,town,71
11003808,2014,city,92
11003908,2014,city,106
11004308,2014,city,91
11006008,2014,city,96
11006108,2014,city,91
11006508,2014,city,98
11006608,2014,city,71
11006708,2014,city,71
11006908,2014,city,95
11007108,2014,city,102
11007408,2014,city,71
11007708,2014,city,71
11007908,2014,city,72
11009408,2014,rural,89
11010008,2014,rural,98
11010308,2014,city,71
11010508,2014,city,71
11010605,2014,city,80
11010608,2014,city,72
11011308,2014,city,106
11011508,2014,city,87
11011808,2014,city,92
11012208,2014,city,96
11012308,2014,town,95
11013208,2014,city,97
11013608,2014,city,102
11014700,2014,rural,92
11016308,2014,city,90
11017008,2014,city,106
11021108,2014,city,102
11025400,2014,city,98
11034902,2014,rural,82
11035102,2014,rural,80
11035302,2014,rural,76
11035602,2014,town,77
11035802,2014,town,84
11036102,2014,town,81
11036602,2014,rural,79
11036702,2014,town,91
11036902,2014,rural,92
11037002,2014,city,78
11037402,2014,city,81
11037702,2014,city,88
11038002,2014,city,86
11038602,2014,city,90
11039102,2014,city,78
11039602,2014,city,77
11039702,2014,city,81
11040302,2014,city,92
11041002,2014,city,92
11041202,2014,city,85
11041302,2014,city,91
11041502,2014,city,88
11042002,2014,city,79
11042202,2014,rural,80
11043402,2014,city,85
11043602,2014,city,85
11060605,2014,city,101
11062305,2014,city,100
11062605,2014,town,75
11063005,2014,city,101
11070205,2014,city,79
11070805,2014,city,81
11070905,2014,city,81
11071705,2014,town,87
11071905,2014,city,86
11072205,2014,city,82
11072405,2014,city,80
11072505,2014,town,87
11073205,2014,city,75
11073805,2014,city,74
11074205,2014,city,75
11074505,2014,city,88
11074705,2014,city,87
11075305,2014,city,108
11076705,2014,city,76
11076805,2014,city,74
11076905,2014,city,74
11077005,2014,rural,76
11077505,2014,town,108
11077605,2014,town,86
11078205,2014,city,75
12000108,2014,town,73
12000508,2014,city,90
12001808,2014,town,97
12002408,2014,town,100
12005208,2014,rural,72
12005308,2014,city,98
12005408,2014,city,73
12009398,2014,city,96
12012700,2014,city,96
12015202,2014,town,78
12015902,2014,town,79
12016302,2014,town,86
12016902,2014,city,88
12017402,2014,city,91
12017602,2014,city,82
12019502,2014,city,78
12021002,2014,rural,89
12021602,2014,city,82
12021702,2014,town,95
12022102,2014,city,95
12031305,2014,city,100
12033905,2014,town,96
12040705,2014,city,74
12041705,2014,city,74
12042705,2014,town,76
12044205,2014,town,75
12044405,2014,city,86
12044505,2014,city,85
12044805,2014,city,81
12045105,2014,city,76
12045805,2014,city,80
12045905,2014,city,82
12046005,2014,city,78
13000108,2014,city,72
13000208,2014,city,71
13000608,2014,city,72
13003098,2014,town,96
13003308,2014,town,71
13003408,2014,town,71
13003508,2014,town,72
13003608,2014,town,71
13003708,2014,town,71
13005108,2014,rural,101
13010208,2014,city,91
13010508,2014,city,92
13010700,2014,town,96
13010708,2014,town,96
13010808,2014,city,90
13011208,2014,town,102
13011308,2014,city,97
13013100,2014,rural,95
13013708,2014,city,106
13015508,2014,city,107
13048102,2014,town,85
13048702,2014,rural,83
13049502,2014,rural,88
13049702,2014,rural,91
13049802,2014,rural,83
13050102,2014,rural,80
13051302,2014,city,87
13051802,2014,city,77
13051902,2014,city,82
13052802,2014,city,86
13054502,2014,rural,84
13054602,2014,town,85
13054802,2014,rural,79
13060705,2014,rural,75
13061205,2014,city,79
13062305,2014,rural,103
13070105,2014,town,73
13070205,2014,town,74
13070305,2014,rural,75
13072905,2014,rural,77
13073005,2014,rural,74
13074205,2014,city,74
13074605,2014,city,75
13074905,2014,city,87
14001708,2014,city,91
14003008,2014,city,72
14003108,2014,city,72
14003408,2014,rural,71
14003508,2014,rural,73
14005908,2014,city,109
14007300,2014,city,96
14011002,2014,town,102
14011400,2014,town,94
14013802,2014,city,83
14015002,2014,city,78
14016602,2014,city,86
14018002,2014,rural,82
14018402,2014,rural,84
14018502,2014,rural,87
14019102,2014,rural,77
14019602,2014,city,80
14019702,2014,city,80
14020202,2014,town,84
14020302,2014,town,85
14020402,2014,town,85
14020902,2014,town,79
14021002,2014,town,81
14021302,2014,rural,79
14022202,2014,rural,87
14022602,2014,rural,89
14023202,2014,city,84
14023402,2014,rural,82
14031305,2014,rural,96
14032105,2014,city,94
14050105,2014,town,74
14050605,2014,town,76
14051505,2014,city,90
14051705,2014,rural,74
14052205,2014,rural,76
14052305,2014,rural,77
14052405,2014,rural,75
14052905,2014,rural,75
14053005,2014,rural,76
14053105,2014,rural,89
14053205,2014,rural,74
14053305,2014,city,78
14053505,2014,city,73
14053805,2014,town,85
14053905,2014,town,86
21000208,2014,city,72
21001500,2014,rural,94
21001508,2014,city,98
21001808,2014,town,96
21002008,2014,town,95
21002108,2014,town,100
21002198,2014,city,95
21002308,2014,rural,71
21002408,2014,rural,72
21002508,2014,rural,71
21005508,2014,rural,73
